Latitude ,Longitude ,Month,Day,Year,#/km2,Microplastics #/km^2,Macroplastics # /km^2,Total Wieght (g)/km^2,Microplastics Weight (g)/ km^2,Macroplastics Weight (g) /km^2,Source,Notes,Mesh Size,Conc
16.87,-86.72,12,27,1991,0,,,,,,SEA Education,Not adjusted,333um,16.87-86.72122719910SEA EducationNot adjusted333um
20.43,-71.17,12,28,1991,0,,,,,,SEA Education,Not adjusted,333um,20.43-71.17122819910SEA EducationNot adjusted333um
20.43,-71.17,12,28,1991,0,,,,,,SEA Education,Not adjusted,333um,20.43-71.17122819910SEA EducationNot adjusted333um
20.68,-71.58,12,28,1991,0,,,,,,SEA Education,Not adjusted,333um,20.68-71.58122819910SEA EducationNot adjusted333um
20.68,-71.58,12,28,1991,0,,,,,,SEA Education,Not adjusted,333um,20.68-71.58122819910SEA EducationNot adjusted333um
21.32,-72.38,12,29,1991,0,,,,,,SEA Education,Not adjusted,333um,21.32-72.38122919910SEA EducationNot adjusted333um
21.32,-72.38,12,29,1991,0,,,,,,SEA Education,Not adjusted,333um,21.32-72.38122919910SEA EducationNot adjusted333um
24.6,-80.62,1,3,1992,0,,,,,,SEA Education,Not adjusted,333um,24.6-80.621319920SEA EducationNot adjusted333um
24.6,-80.62,1,3,1992,0,,,,,,SEA Education,Not adjusted,333um,24.6-80.621319920SEA EducationNot adjusted333um
24.9,-79.67,1,3,1992,0,,,,,,SEA Education,Not adjusted,333um,24.9-79.671319920SEA EducationNot adjusted333um
24.9,-79.67,1,3,1992,0,,,,,,SEA Education,Not adjusted,333um,24.9-79.671319920SEA EducationNot adjusted333um
25.25,-79.83,1,4,1992,0,,,,,,SEA Education,Not adjusted,333um,25.25-79.831419920SEA EducationNot adjusted333um
25.25,-79.83,1,4,1992,0,,,,,,SEA Education,Not adjusted,333um,25.25-79.831419920SEA EducationNot adjusted333um
26.28,-79.05,1,14,1992,0,,,,,,SEA Education,Not adjusted,333um,26.28-79.0511419920SEA EducationNot adjusted333um
26.28,-79.05,1,14,1992,0,,,,,,SEA Education,Not adjusted,333um,26.28-79.0511419920SEA EducationNot adjusted333um
26.02,-77.74,1,16,1992,0,,,,,,SEA Education,Not adjusted,333um,26.02-77.7411619920SEA EducationNot adjusted333um
26.02,-77.74,1,16,1992,0,,,,,,SEA Education,Not adjusted,333um,26.02-77.7411619920SEA EducationNot adjusted333um
26.35,-78.33,2,15,1992,0,,,,,,SEA Education,Not adjusted,333um,26.35-78.3321519920SEA EducationNot adjusted333um
26.35,-78.33,2,15,1992,0,,,,,,SEA Education,Not adjusted,333um,26.35-78.3321519920SEA EducationNot adjusted333um
26.73,-75.15,2,18,1992,0,,,,,,SEA Education,Not adjusted,333um,26.73-75.1521819920SEA EducationNot adjusted333um
26.73,-75.15,2,18,1992,0,,,,,,SEA Education,Not adjusted,333um,26.73-75.1521819920SEA EducationNot adjusted333um
14.25,-75.4,2,28,1992,540,,,,,,SEA Education,Not adjusted,333um,14.25-75.42281992540SEA EducationNot adjusted333um
14.25,-75.4,2,28,1992,540,,,,,,SEA Education,Not adjusted,333um,14.25-75.42281992540SEA EducationNot adjusted333um
15.63,-76.2,3,4,1992,0,,,,,,SEA Education,Not adjusted,333um,15.63-76.23419920SEA EducationNot adjusted333um
15.63,-76.2,3,4,1992,0,,,,,,SEA Education,Not adjusted,333um,15.63-76.23419920SEA EducationNot adjusted333um
16.37,-76.65,3,5,1992,0,,,,,,SEA Education,Not adjusted,333um,16.37-76.653519920SEA EducationNot adjusted333um
16.37,-76.65,3,5,1992,0,,,,,,SEA Education,Not adjusted,333um,16.37-76.653519920SEA EducationNot adjusted333um
17.23,-77.18,3,5,1992,0,,,,,,SEA Education,Not adjusted,333um,17.23-77.183519920SEA EducationNot adjusted333um
17.23,-77.18,3,5,1992,0,,,,,,SEA Education,Not adjusted,333um,17.23-77.183519920SEA EducationNot adjusted333um
24.73,-83.47,3,20,1992,0,,,,,,SEA Education,Not adjusted,333um,24.73-83.4732019920SEA EducationNot adjusted333um
24.73,-83.47,3,20,1992,0,,,,,,SEA Education,Not adjusted,333um,24.73-83.4732019920SEA EducationNot adjusted333um
25.75,-77.1,4,5,1992,0,,,,,,SEA Education,Not adjusted,333um,25.75-77.14519920SEA EducationNot adjusted333um
25.75,-77.1,4,5,1992,0,,,,,,SEA Education,Not adjusted,333um,25.75-77.14519920SEA EducationNot adjusted333um
25.77,-77.15,4,6,1992,0,,,,,,SEA Education,Not adjusted,333um,25.77-77.154619920SEA EducationNot adjusted333um
25.77,-77.15,4,6,1992,0,,,,,,SEA Education,Not adjusted,333um,25.77-77.154619920SEA EducationNot adjusted333um
25.4,-75.18,4,6,1992,0,,,,,,SEA Education,Not adjusted,333um,25.4-75.184619920SEA EducationNot adjusted333um
25.4,-75.18,4,6,1992,0,,,,,,SEA Education,Not adjusted,333um,25.4-75.184619920SEA EducationNot adjusted333um
26.12,-78.53,4,21,1992,0,,,,,,SEA Education,Not adjusted,333um,26.12-78.5342119920SEA EducationNot adjusted333um
26.12,-78.53,4,21,1992,0,,,,,,SEA Education,Not adjusted,333um,26.12-78.5342119920SEA EducationNot adjusted333um
26.32,-78.17,4,21,1992,2160,,,,,,SEA Education,Not adjusted,333um,26.32-78.1742119922160SEA EducationNot adjusted333um
26.32,-78.17,4,21,1992,2160,,,,,,SEA Education,Not adjusted,333um,26.32-78.1742119922160SEA EducationNot adjusted333um
24.82,-75.98,4,24,1992,0,,,,,,SEA Education,Not adjusted,333um,24.82-75.9842419920SEA EducationNot adjusted333um
24.82,-75.98,4,24,1992,0,,,,,,SEA Education,Not adjusted,333um,24.82-75.9842419920SEA EducationNot adjusted333um
26.36,-78.57,4,24,1992,0,,,,,,SEA Education,Not adjusted,333um,26.36-78.5742419920SEA EducationNot adjusted333um
26.36,-78.57,4,24,1992,0,,,,,,SEA Education,Not adjusted,333um,26.36-78.5742419920SEA EducationNot adjusted333um
24.22,-74.98,4,27,1992,0,,,,,,SEA Education,Not adjusted,333um,24.22-74.9842719920SEA EducationNot adjusted333um
24.22,-74.98,4,27,1992,0,,,,,,SEA Education,Not adjusted,333um,24.22-74.9842719920SEA EducationNot adjusted333um
25.38,-74.65,4,30,1992,2700,,,,,,SEA Education,Not adjusted,333um,25.38-74.6543019922700SEA EducationNot adjusted333um
25.38,-74.65,4,30,1992,2700,,,,,,SEA Education,Not adjusted,333um,25.38-74.6543019922700SEA EducationNot adjusted333um
25.87,-73.68,5,1,1992,2700,,,,,,SEA Education,Not adjusted,333um,25.87-73.685119922700SEA EducationNot adjusted333um
25.87,-73.68,5,1,1992,2700,,,,,,SEA Education,Not adjusted,333um,25.87-73.685119922700SEA EducationNot adjusted333um
35.85,-65.93,5,13,1992,540,,,,,,SEA Education,Not adjusted,333um,35.85-65.935131992540SEA EducationNot adjusted333um
35.85,-65.93,5,13,1992,540,,,,,,SEA Education,Not adjusted,333um,35.85-65.935131992540SEA EducationNot adjusted333um
34.6,-63.75,5,14,1992,2700,,,,,,SEA Education,Not adjusted,333um,34.6-63.7551419922700SEA EducationNot adjusted333um
34.6,-63.75,5,14,1992,2700,,,,,,SEA Education,Not adjusted,333um,34.6-63.7551419922700SEA EducationNot adjusted333um
41.58,-66.63,5,17,1992,0,,,,,,SEA Education,Not adjusted,333um,41.58-66.6351719920SEA EducationNot adjusted333um
41.58,-66.63,5,17,1992,0,,,,,,SEA Education,Not adjusted,333um,41.58-66.6351719920SEA EducationNot adjusted333um
