"","Day","Month","Year","Latitude","Longitude","X..km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Microplastics...km.2","Macroplastics....km.2","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","v10Mps"
"84",15,10.5,1976,33.328,-158,21911.7647058824,298,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",15,10.5,1976,31.782,-158,4705.88235294118,64,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",15,10.5,1976,31.345,-158,10367.6470588235,141,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",15,10.5,1976,30.202,-158,17279.4117647059,235,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",15,10.5,1976,28.185,-158,29191.1764705882,397,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",15,10.5,1976,26.807,-158,1838.23529411765,25,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",15,10.5,1976,26.269,-158,5882.35294117647,80,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",15,10.5,1976,25.429,-158,1544.11764705882,21,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",15,10.5,1976,23.983,-158,3235.29411764706,44,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",15,10.5,1976,22.403,-158,2352.94117647059,32,"Shaw & Mapes  1979",505,"Count concentration calculated and day set to 15",NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
